NODEID,ONSTREETNAME,FROMSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
33805,LINDEN BOULEVARD,ROCKAWAY BOULEVARD,Q,06/26/2017 00:00:00,08/28/2017 23:59:59,DOT IN-HOUSE PAVING
16794,EAST   12 STREET,WILLIAMS COURT,B,08/07/2017 00:00:00,08/14/2017 23:59:59,DOT IN-HOUSE MILLING
31999,101 STREET,103 AVENUE,Q,05/07/2018 10:04:58,06/08/2018 23:59:59,DOT IN-HOUSE MILLING
23446,5 AVENUE,EAST   76 STREET,M,10/16/2017 14:44:01,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
23455,CENTRAL PARK WEST,WEST   89 STREET,M,10/17/2017 09:03:42,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
54744,63 AVENUE,CEDAR GROVE CEMETERY BOUNDARY,Q,10/20/2017 10:05:44,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
43160,EAST  148 STREET,ST ANNS AVENUE,X,08/09/2017 15:29:17,11/03/2017 23:59:59,DOT IN-HOUSE PAVING
39880,201 PLACE,LINDEN BOULEVARD,Q,10/10/2017 00:00:00,11/30/2017 23:59:59,DOT IN-HOUSE PAVING
40053,217 STREET,LINDEN BOULEVARD,Q,10/10/2017 00:00:00,11/30/2017 23:59:59,DOT IN-HOUSE PAVING
56036,43 AVENUE,164 STREET,Q,01/01/2018 00:00:00,03/11/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
39598,118 ROAD,FARMERS BOULEVARD,Q,03/19/2018 00:00:00,04/30/2018 23:59:59,DOT IN-HOUSE PAVING
15266,CHURCH STREET,CORTLANDT STREET,M,01/29/2019 08:01:21,02/09/2019 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
15266,CHURCH STREET,CORTLANDT STREET,M,01/29/2019 08:01:22,02/09/2019 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
55619,COLDEN STREET,KALMIA AVENUE,Q,09/20/2017 16:18:55,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
55619,COLDEN STREET,KALMIA AVENUE,Q,09/20/2017 16:18:55,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
42838,EAST  139 STREET,3 AVENUE,X,09/05/2017 15:04:24,12/03/2017 23:59:59,DOT IN-HOUSE MILLING
35235,87 ROAD,155 STREET,Q,06/25/2018 00:00:00,07/25/2018 23:59:59,DOT IN-HOUSE PAVING
3646,GOETHALS ROAD NORTH,WESTERN AVENUE,S,06/25/2018 00:00:00,06/30/2018 23:58:59,PAVE STREET-W/ ENGINEERING & INSP FEE-P
36536,156 STREET,SOUTH CONDUIT AVENUE,Q,07/15/2018 00:00:00,08/15/2018 23:59:59,DOT IN-HOUSE PAVING
41780,34 AVENUE,46 STREET,Q,10/01/2017 00:00:00,12/30/2017 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
41780,34 AVENUE,46 STREET,Q,10/01/2017 00:00:00,12/30/2017 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT
43507,BROADWAY,TRANSMANHATTAN EXPRESSWAY,M,08/06/2018 00:00:00,08/17/2018 23:59:59,DOT IN-HOUSE PAVING
43508,BROADWAY,WEST  179 STREET,M,08/06/2018 00:00:00,08/17/2018 23:59:59,DOT IN-HOUSE PAVING
43606,BROADWAY,WEST  182 STREET,M,08/06/2018 00:00:00,08/17/2018 23:59:59,DOT IN-HOUSE PAVING
40222,223 STREET,LINDEN BOULEVARD,Q,10/10/2017 00:00:00,11/30/2017 23:59:59,DOT IN-HOUSE PAVING
23456,CENTRAL PARK WEST,WEST   90 STREET,M,10/17/2017 09:03:43,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
23457,CENTRAL PARK WEST,WEST   91 STREET,M,10/17/2017 09:03:43,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
23459,CENTRAL PARK WEST,WEST   92 STREET,M,10/17/2017 09:03:44,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
41854,30 ROAD,44 STREET,Q,11/16/2017 10:34:34,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
41825,39 AVENUE,50 STREET,Q,09/29/2017 14:59:47,12/10/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
42838,EAST  139 STREET,3 AVENUE,X,09/05/2017 15:04:24,12/02/2017 23:59:59,DOT IN-HOUSE PAVING
35257,84 DRIVE,161 STREET,Q,06/25/2018 00:00:00,07/25/2018 23:59:59,DOT IN-HOUSE PAVING
43509,WADSWORTH AVENUE,WEST  178 STREET,M,08/13/2018 00:00:00,08/24/2018 23:59:59,DOT IN-HOUSE PAVING
40694,30 STREET,BORDEN AVENUE,Q,07/15/2018 00:00:00,08/15/2018 23:59:59,DOT IN-HOUSE PAVING
43511,WADSWORTH AVENUE,TRANSMANHATTAN EXPRESSWAY,M,08/13/2018 00:00:00,08/24/2018 23:59:59,DOT IN-HOUSE PAVING
43614,ST NICHOLAS AVENUE,WEST  183 STREET,M,08/13/2018 00:00:00,08/24/2018 23:59:59,DOT IN-HOUSE PAVING
23652,EAST   90 STREET,LEXINGTON AVENUE,M,10/27/2017 00:00:00,11/02/2017 23:59:59,DOT IN-HOUSE PAVING
44335,BROADWAY,WEST  187 STREET,M,08/06/2018 00:00:00,08/17/2018 23:59:59,DOT IN-HOUSE PAVING
32368,74 AVENUE,BEND,Q,10/25/2017 11:35:11,11/30/2017 23:59:59,DOT IN-HOUSE PAVING
34329,138 STREET,VAN WYCK EXPRESSWAY,Q,10/10/2017 00:00:00,11/30/2017 23:59:59,DOT IN-HOUSE PAVING
34759,94 AVENUE,ATLANTIC AVENUE,Q,10/10/2017 00:00:00,11/30/2017 23:59:59,DOT IN-HOUSE PAVING
14556,COLUMBIA STREET,PRESIDENT STREET,B,10/19/2017 15:14:56,01/01/2018 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
14557,COLUMBIA STREET,UNION STREET,B,10/19/2017 15:14:54,01/01/2018 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
14565,BROOKLYN QNS EXPRESSWAY,UNION STREET,B,10/19/2017 15:24:49,01/01/2018 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
14567,HICKS STREET,UNION STREET,B,10/19/2017 15:24:48,01/01/2018 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
32859,BURNS STREET,UNION TURNPIKE,Q,10/24/2017 09:05:11,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
47944,CROTONA AVENUE,CROTONA PARK SOUTH,X,11/13/2017 07:13:28,02/07/2018 23:59:59,DOT IN-HOUSE PAVING
47946,CROTONA AVENUE,CROTONA PARK SOUTH,X,11/13/2017 07:11:29,02/08/2018 23:59:59,DOT IN-HOUSE PAVING
48023,EAST  170 STREET,REV JAMES POLITE AVENUE,X,11/17/2017 08:20:06,02/14/2018 23:59:59,DOT IN-HOUSE MILLING
48024,EAST  170 STREET,LOUIS NINE BOULEVARD,X,11/17/2017 08:20:09,02/14/2018 23:59:59,DOT IN-HOUSE MILLING
26022,AVENUE D,EAST   37 STREET,B,11/13/2018 00:00:00,11/19/2018 23:59:59,DOT IN-HOUSE PAVING
26023,AVENUE D,EAST   38 STREET,B,11/13/2018 00:00:00,11/19/2018 23:59:59,DOT IN-HOUSE PAVING
26026,AVENUE D,EAST   39 STREET,B,11/13/2018 00:00:00,11/19/2018 23:59:59,DOT IN-HOUSE PAVING
26076,AVENUE D,EAST   40 STREET,B,11/13/2018 00:00:00,11/19/2018 23:59:59,DOT IN-HOUSE PAVING
26079,ALBANY AVENUE,AVENUE D,B,11/13/2018 00:00:00,11/19/2018 23:59:59,DOT IN-HOUSE PAVING
51490,COLLEGE POINT BOULEVARD,NORTHERN BOULEVARD,Q,07/10/2017 00:00:00,08/18/2017 23:59:59,DOT IN-HOUSE PAVING
51491,COLLINS PLACE,NORTHERN BOULEVARD,Q,07/10/2017 00:00:00,08/18/2017 23:59:59,DOT IN-HOUSE PAVING
51741,28 AVENUE,COLLEGE POINT BOULEVARD,Q,07/10/2017 00:00:00,08/18/2017 23:59:59,DOT IN-HOUSE PAVING
51742,123 STREET,COLLEGE POINT BOULEVARD,Q,07/10/2017 00:00:00,08/18/2017 23:59:59,DOT IN-HOUSE PAVING
51743,123 STREET,COLLEGE POINT BOULEVARD,Q,07/10/2017 00:00:00,08/18/2017 23:59:59,DOT IN-HOUSE PAVING
5774,BRIELLE AVENUE,GANSEVOORT BOULEVARD,S,10/19/2017 14:50:10,01/01/2018 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
59532,53 AVENUE,199 STREET,Q,11/01/2017 00:00:00,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
59661,48 AVENUE,206 STREET,Q,10/23/2017 08:22:53,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
59777,56 AVENUE,206 STREET,Q,10/23/2017 08:22:56,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
12904,23 AVENUE,84 STREET,B,03/26/2018 00:00:00,03/30/2018 23:59:59,DOT IN-HOUSE MILLING
12989,23 AVENUE,83 STREET,B,03/26/2018 00:00:00,03/30/2018 23:59:59,DOT IN-HOUSE MILLING
12990,23 AVENUE,82 STREET,B,03/26/2018 00:00:00,03/30/2018 23:59:59,DOT IN-HOUSE MILLING
12994,23 AVENUE,81 STREET,B,03/26/2018 00:00:00,03/30/2018 23:59:59,DOT IN-HOUSE MILLING
12995,23 AVENUE,80 STREET,B,03/26/2018 00:00:00,03/30/2018 23:59:59,DOT IN-HOUSE MILLING
12996,23 AVENUE,79 STREET,B,03/26/2018 00:00:00,03/30/2018 23:59:59,DOT IN-HOUSE MILLING
59531,51 AVENUE,199 STREET,Q,01/01/2018 00:00:00,03/11/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
59532,53 AVENUE,199 STREET,Q,01/01/2018 00:00:00,03/11/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
13314,12 AVENUE,OVINGTON AVENUE,B,08/19/2019 12:39:28,08/22/2019 23:59:59,DOT IN-HOUSE MILLING
41537,30 STREET,37 AVENUE,Q,05/17/2018 00:00:00,06/30/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
44258,COLLEGE AVENUE,EAST  171 STREET,X,10/20/2017 14:13:38,12/27/2017 23:59:59,DOT IN-HOUSE PAVING
32647,86 AVENUE,104 STREET,Q,05/07/2018 09:22:44,06/08/2018 23:59:59,DOT IN-HOUSE PAVING
5657,SUNSET AVENUE,WILLOWBROOK ROAD,S,08/17/2017 10:08:29,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
5659,TAFT COURT,WILLOWBROOK ROAD,S,08/17/2017 10:08:31,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
5661,BIRCHARD AVENUE,WILLOWBROOK ROAD,S,08/17/2017 10:08:32,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
5664,FILLMORE AVENUE,WILLOWBROOK ROAD,S,08/17/2017 10:08:33,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
5701,BUCHANAN AVENUE,WILLOWBROOK ROAD,S,08/17/2017 10:08:35,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
5702,ROOSEVELT AVENUE,WILLOWBROOK ROAD,S,08/17/2017 10:08:36,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
5705,ROOSEVELT AVENUE,WILLOWBROOK ROAD,S,08/17/2017 10:08:36,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
5710,BRADLEY AVENUE,WILLOWBROOK ROAD,S,08/17/2017 10:08:38,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
39739,112 AVENUE,199 STREET,Q,10/25/2017 13:00:19,11/20/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
44258,COLLEGE AVENUE,EAST  171 STREET,X,10/20/2017 14:12:17,01/17/2018 23:59:59,DOT IN-HOUSE PAVING
23355,BROADWAY,WEST   92 STREET,M,09/27/2017 15:19:03,11/15/2017 23:58:59,CONTRACT ROADWAY MILLING
30857,BEACH  115 STREET,ROCKAWAY BEACH BOULEVARD,Q,03/15/2018 08:19:52,06/12/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
41854,30 ROAD,44 STREET,Q,01/01/2018 00:00:00,03/11/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
23434,5 AVENUE,EAST   73 STREET,M,10/16/2017 14:43:36,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
39737,112 AVENUE,198 STREET,Q,10/30/2017 08:46:27,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
44255,CLAY AVENUE,EAST  169 STREET,X,11/03/2017 14:29:04,01/31/2018 23:59:59,DOT IN-HOUSE PAVING
44254,EAST  169 STREET,TELLER AVENUE,X,10/20/2017 14:15:33,12/20/2017 23:59:59,DOT IN-HOUSE PAVING
41887,57 STREET,ROOSEVELT AVENUE,Q,01/05/2018 00:00:00,01/08/2018 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
45531,59 ROAD,69 PLACE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
45620,62 DRIVE,69 STREET,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
45942,62 AVENUE,80 STREET,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
54343,NEREID AVENUE,WHITE PLAINS ROAD,X,08/18/2017 00:00:00,10/09/2017 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION
54349,EAST  239 STREET,WHITE PLAINS ROAD,X,08/18/2017 00:00:00,10/09/2017 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
55232,159 STREET,BOOTH MEMORIAL AVENUE,Q,09/20/2017 12:07:52,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
55232,159 STREET,BOOTH MEMORIAL AVENUE,Q,09/20/2017 12:07:53,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
23477,EAST   73 STREET,LEXINGTON AVENUE,M,10/27/2017 00:00:00,11/02/2017 23:59:59,DOT IN-HOUSE PAVING
23478,EAST   74 STREET,LEXINGTON AVENUE,M,10/27/2017 00:00:00,11/02/2017 23:59:59,DOT IN-HOUSE PAVING
40140,219 STREET,LINDEN BOULEVARD,Q,10/10/2017 00:00:00,11/30/2017 23:59:59,DOT IN-HOUSE PAVING
40141,220 STREET,LINDEN BOULEVARD,Q,10/10/2017 00:00:00,11/30/2017 23:59:59,DOT IN-HOUSE PAVING
23485,EAST   77 STREET,PARK AVENUE,M,10/16/2017 14:26:51,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
45165,51 AVENUE,61 STREET,Q,10/24/2017 10:18:37,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
45202,59 ROAD,FRESH POND ROAD,Q,11/02/2017 00:00:00,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
45259,51 AVENUE,64 STREET,Q,10/24/2017 10:18:39,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
45264,51 AVENUE,65 PLACE,Q,10/24/2017 10:18:41,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
45364,51 AVENUE,66 STREET,Q,10/24/2017 10:18:42,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
44231,EAST  165 STREET,WASHINGTON AVENUE,X,11/03/2017 14:33:41,01/31/2018 23:59:59,DOT IN-HOUSE PAVING
44244,EAST  166 STREET,WASHINGTON AVENUE,X,11/03/2017 14:33:43,01/31/2018 23:59:59,DOT IN-HOUSE PAVING
46467,35 AVENUE,LEVERICH STREET,Q,05/02/2018 00:00:00,06/30/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
47102,19 DRIVE,78 STREET,Q,11/22/2017 00:00:00,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
44149,EAST  166 STREET,FINDLAY AVENUE,X,08/30/2018 10:09:42,11/26/2018 23:59:59,DOT IN-HOUSE PAVING
44150,EAST  166 STREET,TELLER AVENUE,X,08/30/2018 10:09:43,11/26/2018 23:59:59,DOT IN-HOUSE PAVING
44152,CLAY AVENUE,EAST  166 STREET,X,08/30/2018 10:09:45,11/26/2018 23:59:59,DOT IN-HOUSE PAVING
44154,EAST  166 STREET,WEBSTER AVENUE,X,08/30/2018 10:09:46,11/26/2018 23:59:59,DOT IN-HOUSE PAVING
55437,KING ROAD,NORTHERN BOULEVARD,Q,07/10/2017 00:00:00,08/18/2017 23:59:59,DOT IN-HOUSE PAVING
55441,NORTHERN BOULEVARD,PRINCE STREET,Q,07/10/2017 00:00:00,08/18/2017 23:59:59,DOT IN-HOUSE PAVING
20269,HUDSON STREET,KING STREET,M,04/25/2018 00:00:00,05/04/2018 23:59:59,DOT IN-HOUSE PAVING
20270,HUDSON STREET,WEST HOUSTON STREET,M,04/25/2018 00:00:00,05/04/2018 23:59:59,DOT IN-HOUSE PAVING
20276,GREENWICH STREET,MORTON STREET,M,04/23/2018 00:00:00,05/04/2018 23:59:59,DOT IN-HOUSE PAVING
20277,BARROW STREET,GREENWICH STREET,M,04/23/2018 00:00:00,05/04/2018 23:59:59,DOT IN-HOUSE PAVING
20278,CLARKSON STREET,HUDSON STREET,M,04/25/2018 00:00:00,05/04/2018 23:59:59,DOT IN-HOUSE PAVING
13336,18 AVENUE,85 STREET,B,07/18/2019 00:00:00,07/26/2019 23:59:59,DOT IN-HOUSE PAVING
16054,FLATBUSH AVENUE EXTENSION,WILLOUGHBY STREET,B,02/09/2019 00:00:00,02/11/2019 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
46467,35 AVENUE,LEVERICH STREET,Q,05/17/2018 00:00:00,06/30/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
49703,TYNDALL AVENUE,WEST  261 STREET,X,06/28/2017 06:54:19,09/25/2017 23:59:59,DOT IN-HOUSE PAVING
49517,POST ROAD,WEST  259 STREET,X,07/17/2017 14:19:28,10/11/2017 23:59:59,DOT IN-HOUSE PAVING
30086,60 LANE,68 ROAD,Q,08/27/2017 00:00:00,11/01/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
30247,64 LANE,74 AVENUE,Q,08/27/2017 00:00:00,11/01/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
23663,EAST   94 STREET,LEXINGTON AVENUE,M,10/27/2017 00:00:00,11/02/2017 23:59:59,DOT IN-HOUSE PAVING
23664,EAST   95 STREET,LEXINGTON AVENUE,M,10/27/2017 00:00:00,11/02/2017 23:59:59,DOT IN-HOUSE PAVING
32726,86 AVENUE,107 STREET,Q,05/07/2018 09:14:59,06/08/2018 23:59:59,DOT IN-HOUSE MILLING
32726,86 AVENUE,107 STREET,Q,05/07/2018 09:15:00,06/08/2018 23:59:59,DOT IN-HOUSE PAVING
32992,BEACH   99 STREET,DEAD END,Q,06/20/2017 13:05:19,09/16/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
49514,DEAD END,HUXLEY AVENUE,X,07/17/2017 14:17:56,10/05/2017 23:59:59,DOT IN-HOUSE PAVING
32973,BEACH  101 STREET,BEACH CHANNEL DRIVE,Q,06/02/2017 00:00:00,08/31/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
32975,BEACH  101 STREET,CONSTANCE COURT,Q,06/02/2017 00:00:00,08/31/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
32976,BEACH  101 STREET,IDA COURT,Q,06/02/2017 00:00:00,08/31/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
32979,BEACH  101 STREET,MARIE COURT,Q,06/02/2017 00:00:00,08/31/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
56121,25 ROAD,I  678,Q,07/07/2017 14:03:14,08/21/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
56170,25 AVENUE,I  678,Q,07/07/2017 14:03:13,08/21/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
50828,27 AVENUE,CURTIS STREET,Q,08/01/2017 00:00:00,09/08/2017 23:59:59,DOT IN-HOUSE MILLING
30087,60 LANE,CATALPA AVENUE,Q,08/23/2017 09:21:08,09/10/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
41888,43 AVENUE,58 STREET,Q,07/20/2017 11:35:32,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
48018,BRISTOW STREET,EAST  170 STREET,X,11/17/2017 08:20:04,02/14/2018 23:59:59,DOT IN-HOUSE PAVING
48018,BRISTOW STREET,EAST  170 STREET,X,11/17/2017 08:21:44,02/14/2018 23:59:59,DOT IN-HOUSE MILLING
36848,IRWIN PLACE,ROE ROAD,Q,06/06/2017 10:00:34,09/04/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
16054,FLATBUSH AVENUE EXTENSION,WILLOUGHBY STREET,B,02/09/2019 00:00:00,02/11/2019 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
49518,POST ROAD,WEST  260 STREET,X,07/17/2017 14:19:29,10/11/2017 23:59:59,DOT IN-HOUSE PAVING
49519,DAVID SHERIDAN PLAZA,MOSHOLU AVENUE,X,07/17/2017 14:50:13,10/11/2017 23:59:59,DOT IN-HOUSE PAVING
28564,ROCKAWAY PARKWAY,SKIDMORE AVENUE,B,10/26/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
28566,ROCKAWAY PARKWAY,SCHENCK AVENUE,B,10/26/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
49726,FIELDSTON ROAD,WEST  262 STREET,X,06/28/2017 06:55:37,09/25/2017 23:59:59,DOT IN-HOUSE PAVING
28818,AVENUE M,ROCKAWAY PARKWAY,B,10/26/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
28819,HOLMES LANE,ROCKAWAY PARKWAY,B,10/26/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
49519,DAVID SHERIDAN PLAZA,MOSHOLU AVENUE,X,07/17/2017 14:51:55,10/12/2017 23:59:59,DOT IN-HOUSE PAVING
16054,FLATBUSH AVENUE EXTENSION,WILLOUGHBY STREET,B,02/09/2019 00:00:00,02/11/2019 23:58:59,PLACE CRANE OR SHOVEL ON STREET
36848,IRWIN PLACE,ROE ROAD,Q,09/04/2017 00:00:00,11/29/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
50228,63 AVENUE,108 STREET,Q,10/20/2017 10:05:41,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
50309,63 AVENUE,110 STREET,Q,10/20/2017 10:05:42,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
23665,EAST   96 STREET,LEXINGTON AVENUE,M,10/27/2017 00:00:00,11/02/2017 23:59:59,DOT IN-HOUSE PAVING
67987,165 STREET,UNION TURNPIKE,Q,06/26/2017 00:00:00,08/28/2017 23:59:59,DOT IN-HOUSE PAVING
29108,CHRISTOPHER AVENUE,LIVONIA AVENUE,B,10/13/2017 00:00:00,10/30/2017 23:58:59,PLACE MATERIAL ON STREET
36850,IRWIN PLACE,SUNBURY ROAD,Q,06/02/2017 00:00:00,08/31/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
46136,51 AVENUE,90 STREET,Q,08/21/2017 00:00:00,10/06/2017 23:59:59,DOT IN-HOUSE PAVING
46137,53 AVENUE,90 STREET,Q,08/21/2017 00:00:00,10/06/2017 23:59:59,DOT IN-HOUSE MILLING
46137,53 AVENUE,90 STREET,Q,08/21/2017 00:00:00,10/06/2017 23:59:59,DOT IN-HOUSE PAVING
65323,67 STREET,BEND,Q,07/20/2017 11:14:51,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
50312,63 AVENUE,GRAND CENTRL PARKWAY,Q,10/20/2017 10:05:43,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
36853,IRWIN PLACE,TROUTVILLE ROAD,Q,06/02/2017 00:00:00,08/31/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
36855,IRWIN PLACE,URSINA ROAD,Q,06/02/2017 00:00:00,08/31/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
50868,42 AVENUE,103 STREET,Q,11/02/2017 00:00:00,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
53606,ALLERTON AVENUE,HONE AVENUE,X,11/12/2017 00:00:00,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
53611,ARNOW AVENUE,HONE AVENUE,X,11/12/2017 00:00:00,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
47100,19 ROAD,78 STREET,Q,05/17/2018 00:00:00,06/30/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
23836,EAST  110 STREET,LEXINGTON AVENUE,M,10/30/2018 15:35:36,12/31/2018 23:59:59,DOT IN-HOUSE PAVING
39336,FRANCIS LEWIS BOULEVARD,NORTH CONDUIT AVENUE,Q,06/02/2017 00:00:00,08/31/2017 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
56036,43 AVENUE,164 STREET,Q,11/01/2017 00:00:00,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
5734,MONROE PLACE,SUFFOLK AVENUE,S,10/19/2017 14:49:59,01/01/2018 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
5747,CAROLINA COURT,SUFFOLK AVENUE,S,10/19/2017 14:49:58,01/01/2018 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
57700,LUCERNE STREET,RADIO DRIVE,X,11/12/2017 00:00:00,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
5772,CHERRY PLACE,GANSEVOORT BOULEVARD,S,10/19/2017 14:50:10,01/01/2018 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
5773,GANSEVOORT BOULEVARD,MONROE PLACE,S,10/19/2017 14:50:09,01/01/2018 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
47102,19 DRIVE,78 STREET,Q,05/17/2018 00:00:00,06/30/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
59786,50 AVENUE,210 STREET,Q,10/20/2017 09:58:35,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
61973,67 AVENUE,233 STREET,Q,10/23/2017 09:55:48,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
62293,247 STREET,COMMONWEALTH BOULEVARD,Q,10/23/2017 09:27:55,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING
23642,1 AVENUE,EAST   83 STREET,M,10/30/2018 15:41:15,12/31/2018 23:59:59,DOT IN-HOUSE PAVING
23645,2 AVENUE,EAST   86 STREET,M,10/30/2018 15:39:46,12/31/2018 23:59:59,DOT IN-HOUSE PAVING
30253,64 PLACE,SHALER AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
48827,EAST FORDHAM ROAD,TIEBOUT AVENUE,X,09/28/2017 15:04:47,12/26/2017 23:59:59,DOT IN-HOUSE PAVING
