NODEID,ONSTREETNAME,FROMSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
59312,194 STREET,STATION ROAD,Q,10/23/2019 14:35:24,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59312,194 STREET,STATION ROAD,Q,10/23/2019 14:39:18,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
59312,194 STREET,STATION ROAD,Q,10/23/2019 14:39:19,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
9036157,BUSHWICK AVENUE,EASTERN PARKWAY,B,09/16/2019 00:00:00,09/20/2019 23:59:59,DOT IN-HOUSE PAVING
9036158,BUSHWICK AVENUE,EASTERN PARKWAY,B,09/16/2019 00:00:00,09/20/2019 23:59:59,DOT IN-HOUSE PAVING
59341,32 AVENUE,201 STREET,Q,10/21/2019 09:36:39,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
29414,LIVONIA AVENUE,MILLER AVENUE,B,09/25/2019 00:00:00,09/30/2019 23:59:59,DOT IN-HOUSE PAVING
29483,LIVONIA AVENUE,VAN SICLEN AVENUE,B,09/25/2019 00:00:00,09/30/2019 23:59:59,DOT IN-HOUSE PAVING
28856,HEGEMAN AVENUE,WILLIAMS AVENUE,B,10/01/2019 00:00:00,10/03/2019 23:59:59,DOT IN-HOUSE PAVING
29265,NEWPORT STREET,WILLIAMS AVENUE,B,10/01/2019 00:00:00,10/03/2019 23:59:59,DOT IN-HOUSE PAVING
29270,DUMONT AVENUE,WILLIAMS AVENUE,B,10/01/2019 00:00:00,10/03/2019 23:59:59,DOT IN-HOUSE PAVING
29271,LIVONIA AVENUE,WILLIAMS AVENUE,B,10/01/2019 00:00:00,10/03/2019 23:59:59,DOT IN-HOUSE PAVING
23431,5 AVENUE,EAST   70 STREET,M,06/24/2020 09:03:59,07/11/2020 23:59:59,DOT IN-HOUSE PAVING
41125,48 AVENUE,48 STREET,Q,07/17/2019 14:20:31,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
48771,RESERVOIR AVENUE,UNIVERSITY AVENUE,X,07/16/2019 00:00:00,07/18/2019 23:59:59,DOT IN-HOUSE MILLING
48771,RESERVOIR AVENUE,UNIVERSITY AVENUE,X,07/16/2019 00:00:00,07/18/2019 23:59:59,DOT IN-HOUSE PAVING
41131,47 AVENUE,48 STREET,Q,07/17/2019 14:20:28,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
41131,47 AVENUE,48 STREET,Q,07/17/2019 14:20:29,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
57982,HUTCHINSON RIV PARKWAY,PALMER AVENUE,X,05/02/2019 14:47:49,07/29/2019 23:59:59,DOT IN-HOUSE PAVING
57984,BOLLER AVENUE,HUTCHINSON RIV PARKWAY,X,05/02/2019 14:47:50,07/29/2019 23:59:59,DOT IN-HOUSE PAVING
57992,EINSTEIN LOOP,HUTCHINSON RIV PARKWAY,X,05/02/2019 14:47:52,07/29/2019 23:59:59,DOT IN-HOUSE PAVING
58023,EINSTEIN LOOP,HUTCHINSON RIV PARKWAY,X,05/02/2019 14:47:52,07/29/2019 23:59:59,DOT IN-HOUSE PAVING
48770,CLAFLIN AVENUE,RESERVOIR AVENUE,X,07/18/2019 00:00:00,07/22/2019 23:59:59,DOT IN-HOUSE MILLING
41132,48 STREET,GREENPOINT AVENUE,Q,07/17/2019 14:20:25,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
23432,5 AVENUE,EAST   71 STREET,M,06/24/2020 09:04:00,07/11/2020 23:59:59,DOT IN-HOUSE PAVING
44977,TIBBETT AVENUE,WEST  231 STREET,X,03/03/2019 00:00:00,06/01/2019 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
48770,CLAFLIN AVENUE,RESERVOIR AVENUE,X,07/18/2019 00:00:00,07/22/2019 23:59:59,DOT IN-HOUSE PAVING
48771,RESERVOIR AVENUE,UNIVERSITY AVENUE,X,07/18/2019 00:00:00,07/22/2019 23:59:59,DOT IN-HOUSE MILLING
41132,48 STREET,GREENPOINT AVENUE,Q,07/17/2019 14:20:26,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
13211,BAY RIDGE AVENUE,FT HAMILTON PARKWAY,B,07/18/2019 00:00:00,07/24/2019 23:59:59,DOT IN-HOUSE PAVING
41133,48 STREET,NYCTA SUBWAY,Q,07/17/2019 14:20:23,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
13260,68 STREET,FT HAMILTON PARKWAY,B,07/18/2019 00:00:00,07/24/2019 23:59:59,DOT IN-HOUSE PAVING
13262,67 STREET,FT HAMILTON PARKWAY,B,07/18/2019 00:00:00,07/24/2019 23:59:59,DOT IN-HOUSE PAVING
48770,CLAFLIN AVENUE,RESERVOIR AVENUE,X,07/16/2019 00:00:00,07/18/2019 23:59:59,DOT IN-HOUSE PAVING
39216,228 STREET,MERRICK BOULEVARD,Q,11/14/2019 11:54:11,12/27/2019 23:59:59,DOT IN-HOUSE PAVING
39218,225 STREET,MERRICK BOULEVARD,Q,11/14/2019 11:54:06,12/27/2019 23:59:59,DOT IN-HOUSE PAVING
13264,66 STREET,FT HAMILTON PARKWAY,B,07/18/2019 00:00:00,07/24/2019 23:59:59,DOT IN-HOUSE PAVING
13274,64 STREET,FT HAMILTON PARKWAY,B,07/18/2019 00:00:00,07/24/2019 23:59:59,DOT IN-HOUSE PAVING
23435,EAST   71 STREET,MADISON AVENUE,M,06/24/2020 09:00:43,07/11/2020 23:59:59,DOT IN-HOUSE PAVING
18090,CHURCH AVENUE,EAST   14 STREET,B,08/09/2021 00:00:00,08/12/2021 23:59:59,DOT IN-HOUSE PAVING
59387,42 ROAD,196 STREET,Q,10/23/2019 14:22:16,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59387,42 ROAD,196 STREET,Q,10/23/2019 14:35:06,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
41484,24 STREET,35 AVENUE,Q,07/17/2019 13:36:41,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
